NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
O.J.Mayo,Memphis Grizzlies,4456200,SG,71,26.3,11.3,4.3,10.5,40.7,1.4,3.7,36.4,1.4,1.8,75.6,2.4,2,1,0.4,1.4,0,0,12.67,88,2010-2011
OmerAsik,Chicago Bulls,1721000,C,82,12.1,2.8,1,1.7,55.3,0,0,0,0.9,1.8,50.3,3.7,0.4,0.2,0.7,0.8,1,0,11.82,185,2010-2011
PauGasol,Los Angeles Lakers,17823000,C,82,37,18.8,7.2,13.7,52.9,0,0,33.3,4.3,5.2,82.3,10.2,3.3,0.6,1.6,1.7,43,1,23.33,23,2010-2011
PaulPierce,Boston Celtics,13876321,SF,80,34.7,18.9,6.3,12.8,49.7,1.4,3.7,37.4,4.8,5.6,86,5.4,3.3,1,0.6,2.1,7,1,19.76,21,2010-2011
RamonSessions,Cleveland Cavaliers,3964320,G,81,26.3,13.3,4.5,9.6,46.6,0,0.2,20,4.3,5.2,82.3,3.1,5.2,0.7,0.1,2.2,7,0,19.01,68,2010-2011
RayAllen,Boston Celtics,1.00E+07,SG,80,36.1,16.5,6,12.2,49.1,2.1,4.7,44.4,2.4,2.7,88.1,3.4,2.7,1,0.2,1.5,0,0,16.42,36,2010-2011
RodneyStuckey,Detroit Pistons,2767126,PG,70,31.2,15.5,5.2,11.8,43.9,0.4,1.3,28.9,4.7,5.4,86.6,3.1,5.2,1.1,0.1,2.2,7,0,18.46,45,2010-2011
RonnieBrewer,Chicago Bulls,4790000,SF,81,22,6.2,2.5,5.3,48,0.1,0.3,22.2,1.1,1.6,65.4,3.2,1.7,1.3,0.3,0.7,0,0,13.87,161,2010-2011
RoyHibbert,Indiana Pacers,1685280,C,81,27.7,12.7,5.1,11,46.1,0,0,0,2.5,3.4,74.5,7.5,2,0.4,1.8,2.3,21,0,15.96,77,2010-2011
RussellWestbrook,Oklahoma City Thunder,4017720,PG,82,34.7,21.9,7.5,17,44.2,0.4,1.3,33,6.5,7.7,84.2,4.6,8.2,1.9,0.4,3.9,31,3,23.63,13,2010-2011
RyanGomes,LA Clippers,4.00E+06,SF,76,27.6,7.2,2.7,6.6,41,0.9,2.8,34.1,0.8,1.1,71.8,3.3,1.6,0.8,0.2,0.7,1,0,9.04,149,2010-2011
RyanHollins,Cleveland Cavaliers,2333333,C,70,16.9,5.3,1.9,3.1,59.8,0,0,0,1.6,2.3,68.1,2.7,0.4,0.3,0.6,1,0,0,10.69,168,2010-2011
SamuelDalembert,Sacramento Kings,13428129,C,80,24.2,8.1,3.4,7.1,47.3,0,0,0,1.4,1.9,73,8.2,0.8,0.5,1.5,1.7,16,0,14.1,137,2010-2011
ShaneBattier,Memphis Grizzlies,7354500,SF,82,29,7.6,2.8,6.2,45,1.2,3.3,38.2,0.8,1.1,68.8,4.5,2.3,0.8,1,1,3,0,12.37,141,2010-2011
